"","cross_LGAa_1","cross_LGAb_1","vis_LGA_1","snow_LGA_1","TS_LGA_1","rain_LGA_1","status_LGA","A_LGA","AirDelay_LGA"
"184",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",0,17,0.35
"185",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",0,22,-3.86
"186",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",0,28,4.46
"187",3.64661173100554,20.6809628132564,10,"FALSE","FALSE","FALSE",0,16,-2.69
"188",3.64661173100554,20.6809628132564,10,"FALSE","FALSE","FALSE",0,35,3.29
"189",3.64661173100554,20.6809628132564,10,"FALSE","FALSE","FALSE",0,12,-1.92
"190",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",0,12,-2.75
"191",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",0,13,-3.21
"192",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",0,10,-4.33
"193",10.5,20.67323765729,10,"FALSE","FALSE","FALSE",0,32,-19.58
"194",10.5,20.67323765729,10,"FALSE","FALSE","FALSE",0,24,-29.12
"195",10.5,20.67323765729,10,"FALSE","FALSE","FALSE",0,38,-38.68
"196",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",0,33,8.12
"197",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",0,35,3.83
"198",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",1,37,9.58
"199",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",1,32,1.66
"200",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",1,36,-0.2
"201",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",1,36,0.78
"202",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",1,28,-0.07
"203",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",1,38,1.92
"204",10.5,18.1865334794732,10,"FALSE","FALSE","FALSE",0,37,1.11
"205",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,43,4.69
"206",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,29,1.41
"207",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,38,-3.84
"208",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,36,-0.67
"209",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,37,1.68
"210",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",1,38,4.68
"211",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",1,35,1.23
"212",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",1,38,11.37
"213",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",1,37,13.24
"214",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",1,31,10.06
"215",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",1,42,5.5
"216",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",1,39,1.02
"217",5.90884651807325,6.57784834550136,10,"FALSE","FALSE","FALSE",0,44,5.86
"218",5.90884651807325,6.57784834550136,10,"FALSE","FALSE","FALSE",0,29,3.66
"219",5.90884651807325,6.57784834550136,10,"FALSE","FALSE","FALSE",0,38,3.21
"220",5.90884651807325,1.04188906600158,10,"FALSE","FALSE","FALSE",0,36,4.16
"221",5.90884651807325,1.04188906600158,10,"FALSE","FALSE","FALSE",0,37,3.54
"222",5.90884651807325,1.04188906600158,10,"FALSE","FALSE","FALSE",0,37,5.78
"223",5.90884651807325,6.57784834550136,10,"FALSE","FALSE","FALSE",0,35,0.74
"224",5.90884651807325,6.57784834550136,10,"FALSE","FALSE","FALSE",0,38,-1.03
"225",5.90884651807325,6.57784834550136,10,"FALSE","FALSE","FALSE",0,37,3.16
"226",5.90884651807325,1.04188906600158,10,"FALSE","FALSE","FALSE",0,31,4.88
"227",5.90884651807325,1.04188906600158,10,"FALSE","FALSE","FALSE",0,40,5
"228",5.90884651807325,1.04188906600158,10,"FALSE","FALSE","FALSE",0,37,5.18
"229",7.87846202409766,4.33012701892219,10,"FALSE","FALSE","FALSE",0,44,-30.33
"230",7.87846202409766,4.33012701892219,10,"FALSE","FALSE","FALSE",0,28,-25.57
"231",7.87846202409766,4.33012701892219,10,"FALSE","FALSE","FALSE",0,38,-14.51
"232",7.87846202409766,1.38918542133544,10,"FALSE","FALSE","FALSE",0,35,4.6
"233",7.87846202409766,1.38918542133544,10,"FALSE","FALSE","FALSE",0,38,1.68
"234",7.87846202409766,1.38918542133544,10,"FALSE","FALSE","FALSE",0,37,2.14
