"","cross_JFK_1","vis_JFK_1","snow_JFK_1","TS_JFK_1","rain_JFK_1","status_JFK","A_JFK","AirDelay_JFK"
"306",9.84807753012208,10,"FALSE","FALSE","FALSE",0,46,-2.11
"307",9.84807753012208,10,"FALSE","FALSE","FALSE",0,34,-11.35
"308",9.84807753012208,10,"FALSE","FALSE","FALSE",0,33,13.68
"309",9.84807753012208,10,"FALSE","FALSE","FALSE",0,34,2.17
"310",9.84807753012208,10,"FALSE","FALSE","FALSE",0,30,-1.33
"311",9.84807753012208,10,"FALSE","FALSE","FALSE",0,35,-0.22
"312",9.84807753012208,10,"FALSE","FALSE","FALSE",0,24,3.08
"313",6.12835554495182,10,"FALSE","FALSE","FALSE",0,13,0.08
"314",6.12835554495182,10,"FALSE","FALSE","FALSE",0,22,5.05
"315",6.12835554495182,10,"FALSE","FALSE","FALSE",0,27,15.59
"316",5.90884651807325,10,"FALSE","FALSE","FALSE",0,42,2.49
"317",5.90884651807325,10,"FALSE","FALSE","FALSE",0,34,5.14
"318",5.90884651807325,10,"FALSE","FALSE","FALSE",0,46,-1.41
"319",11.8176930361465,10,"FALSE","FALSE","FALSE",0,35,1.4
"320",11.8176930361465,10,"FALSE","FALSE","FALSE",0,33,0.7
"321",11.8176930361465,10,"FALSE","FALSE","FALSE",0,34,-0.36
"322",11.8176930361465,10,"FALSE","FALSE","FALSE",0,30,1.9
"323",11.8176930361465,10,"FALSE","FALSE","FALSE",0,34,-1.29
"324",11.8176930361465,10,"FALSE","FALSE","FALSE",0,26,5.33
"325",4.10424171990802,10,"FALSE","FALSE","FALSE",0,13,-46.21
"326",4.10424171990802,10,"FALSE","FALSE","FALSE",0,22,0.21
"327",4.10424171990802,10,"FALSE","FALSE","FALSE",0,27,4.74
"328",4.10424171990802,10,"FALSE","FALSE","FALSE",0,43,4.39
"329",4.10424171990802,10,"FALSE","FALSE","FALSE",0,36,-2.62
"330",4.10424171990802,10,"FALSE","FALSE","FALSE",0,45,4.71
"331",19.9171555210934,10,"FALSE","FALSE","FALSE",0,38,-1.53
"332",19.9171555210934,10,"FALSE","FALSE","FALSE",0,32,6.44
"333",19.9171555210934,10,"FALSE","FALSE","FALSE",0,36,13.05
"334",19.9171555210934,10,"FALSE","FALSE","FALSE",0,32,10.53
"335",19.9171555210934,10,"FALSE","FALSE","FALSE",0,36,1.51
"336",19.9171555210934,10,"FALSE","FALSE","FALSE",0,25,1.21
"337",10,10,"FALSE","FALSE","FALSE",0,14,4
"338",10,10,"FALSE","FALSE","FALSE",0,22,-5.08
"339",10,10,"FALSE","FALSE","FALSE",0,25,-5.23
"340",5.5,10,"FALSE","FALSE","FALSE",0,43,-0.3
"341",5.5,10,"FALSE","FALSE","FALSE",0,35,11.38
"342",5.5,10,"FALSE","FALSE","FALSE",0,46,11.66
"343",6.84040286651337,10,"FALSE","FALSE","FALSE",0,38,1.21
"344",6.84040286651337,10,"FALSE","FALSE","FALSE",0,34,4.43
"345",6.84040286651337,10,"FALSE","FALSE","FALSE",0,35,4.64
"346",6.84040286651337,10,"FALSE","FALSE","FALSE",0,32,2.91
"347",6.84040286651337,10,"FALSE","FALSE","FALSE",0,36,0.61
"348",6.84040286651337,10,"FALSE","FALSE","FALSE",0,27,19.7
"349",6.06217782649107,10,"FALSE","FALSE","FALSE",0,14,-1
"350",6.06217782649107,10,"FALSE","FALSE","FALSE",0,21,-41.59
"351",6.06217782649107,10,"FALSE","FALSE","FALSE",0,27,-1.92
"352",6.06217782649107,10,"FALSE","FALSE","FALSE",0,45,-2.98
"353",6.06217782649107,10,"FALSE","FALSE","FALSE",0,35,-2.67
"354",6.06217782649107,10,"FALSE","FALSE","FALSE",0,44,5.09
"355",29.5442325903662,10,"FALSE","FALSE","FALSE",0,39,-1.36
"356",29.5442325903662,10,"FALSE","FALSE","FALSE",1,33,8.47
"357",29.5442325903662,10,"FALSE","FALSE","FALSE",1,36,5.31
"358",29.5442325903662,10,"FALSE","FALSE","FALSE",0,32,5.35
"359",29.5442325903662,10,"FALSE","FALSE","FALSE",0,28,3.52
"360",29.5442325903662,10,"FALSE","FALSE","FALSE",0,25,4.52
"361",12,10,"FALSE","FALSE","FALSE",0,15,-6
"362",12,10,"FALSE","FALSE","FALSE",0,14,-3.05
"363",12,10,"FALSE","FALSE","FALSE",0,22,-3.3
"364",7.71345131623847,10,"FALSE","FALSE","FALSE",0,41,-2.97
"365",7.71345131623847,10,"FALSE","FALSE","FALSE",0,37,-3.83
"366",7.71345131623847,10,"FALSE","FALSE","FALSE",0,41,1.04
"367",7.71345131623847,10,"FALSE","FALSE","FALSE",0,39,2.36
"368",7.71345131623847,10,"FALSE","FALSE","FALSE",0,35,4.47
"369",7.71345131623847,10,"FALSE","FALSE","FALSE",0,36,6.35
"370",7.18242300983904,10,"FALSE","FALSE","FALSE",0,34,6.92
"371",7.18242300983904,10,"FALSE","FALSE","FALSE",0,33,1.1
"372",7.18242300983904,10,"FALSE","FALSE","FALSE",0,26,-0.77
